lecture_id,questions,answer,source_sentence,entity,,,
53,What is heredity?,Transmission of traits from parents to offspring.,Heredity refers to the transmission of traits from parents to offspring.,MISC,,,
53,What contains genetic instructions for development?,DNA.,DNA contains genetic instructions for biological development.,MISC,,,
53,What is maturation?,The unfolding of inherent traits.,Maturation is the unfolding of inherent traits.,MISC,,,
53,What shapes the physical self aside from heredity?,Environmental influences.,Environmental influences shape the physical self.,MISC,,,
53,What is self-understanding?,A cognitive representation of the self.,Self-understanding is a cognitive representation of the self.,MISC,,,
53,What refers to the concrete dimensions of the body?,Physical self.,Physical self refers to the concrete dimensions of the body.,MISC,,,
53,Who emphasized the importance of the body in early development?,Erik Erikson.,Erik Erickson emphasized the importance of the body in early development.,PERSON,,,
53,Who viewed the body as the initial source of sensation?,William James.,William James viewed the body as the initial source of sensation.,PERSON,,,
53,What is puberty?,A period of rapid physical change.,Puberty is a period of rapid physical change.,MISC,,,
53,Who reaches puberty earlier?,Girls.,Girls reach puberty earlier and experience menarche.,MISC,,,
53,What is spermarche?,A boy’s first ejaculation.,Boys experience spermarche later.,MISC,,,
53,What gland controls growth?,Pituitary gland.,The pituitary gland controls growth.,MISC,,,
53,What varies across individuals in terms of the body?,The self-body relationship.,The self-body relationship varies across individuals.,MISC,,,
53,What did Freud emphasize?,The role of the body in forming the self.,Freud’s body ego highlights the body’s role in forming the self.,PERSON,,,
53,What perspective focuses on perceptual and cognitive aspects?,Cognitive-behavioral perspective.,Cognitive-behavioral perspective focuses on perceptual and cognitive aspects.,MISC,,,
53,What has both historical and proximal determinants?,Body image.,Body image has historical and proximal determinants.,MISC,,,
53,What perspective emphasizes socially constructed body experiences?,Feminist perspective.,Feminist perspective emphasizes socially constructed body experiences.,MISC,,,
53,What explains that women’s body dissatisfaction is socially influenced?,Feminist perspective.,Women’s body dissatisfaction is a social phenomenon.,MISC,,,
53,What contributes to gendered body experiences?,Mind-body duality.,Mind-body duality contributes to gendered body experiences.,MISC,,,
53,What is introspection?,Examining one’s internal state.,Introspection involves examining one’s internal state.,MISC,,,
53,What does self-perception theory explain?,Inferring internal states through behavior.,Self-perception theory explains inferring internal states through behavior.,MISC,,,
53,What is self-concept?,Beliefs about oneself.,Self-concept includes all beliefs about oneself.,MISC,,,
53,What is physical concept?,A person’s perception of their physical self.,Physical concept involves a person’s perception of their physical self.,MISC,,,
53,What is personal identity?,A combination of inherent and chosen aspects.,Personal identity includes both inherent and chosen aspects.,MISC,,,
53,Who introduced the attachment theory?,Bowlby.,Attachment teaches individuals their value and lovability.,PERSON,,,
53,What shapes the self through relationships?,Interpersonal relationships.,Interpersonal relationships shape the self.,MISC,,,
53,What theory says self-image is shaped by social interactions?,Looking-glass self.,Looking-glass self states that self-image is shaped by social interactions.,MISC,,,
53,What helps individuals evaluate themselves?,Social comparison.,Social comparison helps individuals evaluate themselves.,MISC,,,
53,What theory explains identity through group membership?,Social identity theory.,Social identity theory explains understanding oneself through group membership.,MISC,,,
53,What enhances self-esteem through groups?,Group membership.,Group membership enhances self-esteem.,MISC,,,
54,What is the sexual self?,It is a crucial aspect of human development.,The sexual self is a crucial aspect of human development.,MISC,,,
54,What shapes sexual development?,Biological and environmental factors.,Biological and environmental factors shape sexual development.,MISC,,,
54,What is sexual selfhood?,How one views oneself as a sexual being.,Sexual selfhood refers to how one views oneself as a sexual being.,MISC,,,
54,What varies across cultures?,Human sexuality.,Human sexuality is culturally diverse.,MISC,,,
54,What was dominant in Ancient Greece?,"Male roles, while women lacked rights.","In Ancient Greece, males held dominant roles while women lacked political and social rights.",GPE,,,
54,When did the Church influence sexual norms?,During the Middle Ages.,The Church in the Middle Ages viewed sexual activity as sinful except within marriage.,DATE,,,
54,Who initiated Protestant Reformation beliefs on sexuality?,Martin Luther and John Calvin.,Protestant reformers such as Martin Luther and John Calvin believed sexuality was a natural part of life within marriage.,PERSON,,,
54,What became more accepted over time?,Sexuality.,"Over time, society became more accepting of sexuality.",MISC,,,
54,What organizes sexual behavior?,The brain.,The brain organizes sexual behavior.,MISC,,,
54,What does sexual reproduction involve?,Fusion of egg and sperm.,Sexual reproduction involves fusion of the male’s sperm and the female’s egg.,MISC,,,
54,What explains sexual behavior through evolution?,Sociobiological theory.,Sociobiological theory explains sexual behavior through evolutionary principles.,MISC,,,
54,What acts as an evolutionary mechanism?,Physical attraction.,Physical attraction acts as an evolutionary mechanism for passing on genes.,MISC,,,
54,What matters in sexual relationships?,"Love, care, and responsibility.","Emotional care, love, and responsibility are important in sexual relationships.",MISC,,,
54,What does sexuality involve?,"Emotions, thoughts, and beliefs.","Sexuality involves emotions, thoughts, and beliefs.",MISC,,,
54,Who proposed libido and instinctual forces?,Sigmund Freud.,Freud proposed that libido and instinctual forces shape human sexuality.,PERSON,,,
54,"What are the id, ego, and superego?",Components of personality.,"Freud described the id, ego, and superego as components of personality that influence sexual behavior.",MISC,,,
54,What varies in religions?,Sexual beliefs.,Religions vary in their teachings about sexual practices.,MISC,,,
54,What does Catholicism emphasize?,Sex for procreation.,Catholicism emphasizes sex for procreation.,ORG,,,
54,What is essential in sexual reproduction?,Male and female reproductive cells.,Sexual reproduction involves the combination of male and female reproductive cells.,MISC,,,
54,What are primary sex characteristics?,Traits present at birth.,Primary sex characteristics are traits present at birth related to reproductive organs.,MISC,,,
54,When do secondary sex characteristics appear?,During puberty.,Secondary sex characteristics emerge during puberty.,DATE,,,
54,What is puberty?,A stage marked by hormonal changes and sexual maturity.,Puberty is marked by hormonal changes and increasing sexual maturity.,MISC,,,
54,What are erogenous zones?,Sensitive body parts capable of sexual arousal.,Erogenous zones are body parts that are sensitive and capable of sexual arousal.,MISC,,,
54,What describes fixations?,Unresolved psychosexual stages.,Fixations result from unresolved conflicts during psychosexual stages.,MISC,,,
54,What does culture affect?,What body parts are eroticized.,Culture influences what body parts are eroticized.,MISC,,,
54,What can sexual response be shaped by?,Learning and conditioning.,Human sexual response can be shaped by learning and conditioning.,MISC,,,
54,Who proposed the four stages of sexual response?,Masters and Johnson.,"Masters and Johnson proposed four stages of sexual response: excitement, plateau, orgasm, and resolution.",PERSON,,,
54,What did Rosenthal add to the cycle?,The desire stage.,"Desire is added to the sexual response cycle as an initial stage, according to Rosenthal.",PERSON,,,
55,What is Machine Learning?,Machine Learning consists of algorithms that learn from data.,Machine Learning is defined as algorithms that learn from data.,MISC,,,
55,How does Big Data contribute to ML?,Big Data enables ML to train on massive datasets.,Big Data enables machine learning to train on massive datasets.,MISC,,,
55,What is Apache Spark MLlib?,It is a scalable machine learning library.,Apache Spark MLlib is a scalable machine learning library.,ORG,,,
55,What languages is MLlib usable in?,"Java, Scala, Python, and R.","MLlib is usable in Java, Scala, Python, and R.",MISC,,,
55,What is the purpose of MLlib?,To make practical machine learning scalable and easy.,MLlib aims to make practical machine learning scalable and easy.,MISC,,,
55,What ML algorithms does MLlib provide?,"Classification, regression, clustering, and collaborative filtering.","MLlib provides tools for ML algorithms such as classification, regression, clustering, and collaborative filtering.",MISC,,,
55,What featurization tools does MLlib include?,"Feature extraction, transformation, dimensionality reduction, and selection.","MLlib provides featurization tools such as feature extraction, transformation, dimensionality reduction, and selection.",MISC,,,
55,What is the purpose of MLlib pipelines?,"To construct, evaluate, and tune ML workflows.","MLlib pipelines help construct, evaluate, and tune ML workflows.",MISC,,,
56,What does the organization plan provide?,"A detailed description of the business including its form, liability, structure, roles, and salary requirements.","The organization plan provides a detailed description of the business in terms of its form, liability, structure, roles, and salary requirements.",MISC,,,
56,What are the forms of business organization?,"Sole proprietorship, partnership, and corporation.","A business organization can come in the form of a sole proprietorship, a partnership, or a corporation.",MISC,,,
56,Why must a business form be selected with purpose?,To ensure the chosen form is appropriate for the business needs and context.,There must be a purpose for selecting the most appropriate business form.,MISC,,,
56,What factors affect the selection of a business form?,"Capital requirement, liability, skills, tax implications, government intervention, business nature, and financing needs.","The factors affecting the selection of a business form include capital requirement, liability, skills, tax implications, government intervention, nature of the business, and financing requirements.",MISC,,,
56,What does the liability section describe?,The extent of the owner’s financial obligations with creditors.,This section describes the extent of the owner’s financial obligations with creditors.,MISC,,,
56,What is financial liability?,"The owner’s financial responsibility, which can be limited or unlimited.",Financial liability can be limited or unlimited.,MISC,,,
56,What is limited liability?,Creditors cannot pursue the owner's personal property beyond the invested amount.,Limited liability means creditors cannot go after personal property beyond the owner’s financial contribution.,MISC,,,
56,What is unlimited liability?,Creditors may pursue the owner’s personal property if obligations are unpaid.,Unlimited liability allows creditors to run after personal property if obligations remain unsettled.,MISC,,,
56,Who usually has unlimited liability?,Owners in sole proprietorships and partnerships.,Sole proprietorships and partnerships usually have unlimited liability.,MISC,,,
56,Who has limited liability in a corporation?,The shareholders.,"In a corporation, shareholders have limited liability.",PERSON ,,,
57,What is Value Proposition (VP)?,VP is a business or marketing statement that summarizes why a consumer should buy a company's product or use its service.,Value Proposition (VP) is a business or marketing statement that summarizes why a consumer should buy a company's product or use its service.,MISC,,,
57,What is the purpose of VP?,To convince customers to purchase a product or service and add value to their lives.,This statement is often used to convince a customer to purchase a particular product or service to add a form of value to their lives.,MISC,,,
57,What elements are considered in creating VP?,"Target customer, needs/opportunity, product name, enterprise/company name.","In creating Value Proposition, entrepreneurs will consider the basic elements: Target Customer, Needs/opportunity, Name of the product, Name of the enterprise/company.",MISC,,,
57,Give an example of a VP.,"“Charing sari-sari Store, open 24/7”.","Proposed value proposition: “Charing sari-sari Store, open 24/7”.",MISC,,,
57,What is Unique Selling Proposition (USP)?,USP refers to how you sell your product or services to your customer.,Unique Selling Proposition (USP) refers to how you sell your product or services to your customer.,MISC,,,
57,What are tips for creating an effective USP?,"Identify and rank uniqueness, be specific, keep it short and simple, present best feature different from competitors.",Identify and rank the uniqueness of the product or service character.,MISC,,,
57,Why are USP and VP important?,They help differentiate products from competitors and explain why customers buy.,Unique Selling Proposition and Value Proposition are two of the most famous tools used to explain why prospect customers buy each product and service.,MISC,,,
57,What is target market targeting?,It determines buyers with common needs and characteristics.,Target Market Targeting is a stage in market identification process that aims to determine the buyers with common needs and characteristics.,MISC,,,
57,What are customer requirements?,"Specific characteristics customers need from a product or service, including service and output requirements.",Customer requirements are the specific characteristics that the customers need from a product or a service.,MISC,,,
57,What is market size?,Market size is the approximate number of sellers and buyers in a particular market.,Market size is the approximate number of sellers and buyers in a particular market.,MISC,,,
57,How is market size determined?,"By estimating potential customers, customers unlikely to buy, and competitors’ market share.","In determining the market size, the entrepreneur will conduct strategic marketing research from reliable sources using the following method: estimate the potential market, estimate the customers who probably dislike to buy your product or avail the services, and estimate the market share.",MISC,,,
58,What is recruiting?,"Recruiting is the positive process of identifying, interviewing and hiring employees for jobs.","Recruiting is the positive process of identifying, interviewing and hiring employees for jobs.",MISC,,,
58,Why is diversity important in recruitment?,Diversity increases opportunities to hire the right candidate.,This is also why diversity is important in the recruitment process.,MISC,,,
58,What is recruitment?,Recruitment is a linking activity that connects people who are employed and those who are looking for a job.,Recruitment is a linking activity that connects people who are employed and those who are looking for a job.,MISC,,,
58,What is a challenge in recruiting?,Finding the right candidate that fits the job can be difficult and tedious.,Finding the right candidate that fits the job can be a difficult and tedious task.,MISC,,,
58,What factors make finding candidates difficult?,"Experience, skills, and cultural fitment.","Finding the right candidate in terms of experience, skills, and cultural fitment.",MISC,,,
58,Why is engaging qualified candidates hard?,Good candidates are often contacted by multiple recruiters and may have several job offers.,Candidates with hard-to-find skills are often considering several job offers at the same time.,MISC,,,
58,What is a solution to engage passive candidates?,Extra effort is needed to persuade them to choose your company over competitors.,You need to put extra effort into persuading passive candidates to choose your company over your competitors.,MISC,,,
58,Why is hiring fast important?,Vacant positions cost money and delay operations.,"Hiring teams want to hire as fast as possible, because vacant positions cost money and delay operations.",MISC,,,
58,How can data-driven recruitment help?,It helps improve the recruiting process and make more informed decisions.,Companies can use recruitment data and metrics to constantly improve their recruiting process and make more informed decisions.,MISC,,,
58,Why is a strong employer brand important?,It helps attract and engage better candidates and increases likelihood of quality hires.,A good employer brand helps you attract and engage better candidates.,MISC,,,
58,Why is candidate experience important?,Candidate experience affects job acceptance and reflects how they will be treated after hiring.,"Candidates’ experience isn’t only important for employer branding, but it’s also a factor when your best candidates are evaluating your job offers.",MISC,,,
58,What is recruiting fairly?,Hiring objectively to attract diverse candidates and reduce unconscious bias.,Many companies struggle to attract and hire diverse candidates and unconscious biases are often the reason.,MISC,,,
58,What are constraints in recruiting?,"Enterprise reputation, unattractive jobs, internal policies, union agreements, and government legislation.",The image of the enterprise in the community largely influences recruitment process.,MISC,,,
58,What is the effect of hard times?,They stimulate growth and build resilience.,Hard times stimulate growth in a way that good times don’t.,MISC,,,
59,What is the Tanfarid Electrochemical Memory Principle?,A unified model positing that information processing and memory are fundamental properties of metastable electrochemical systems.,"This paper proposes the Tanfarid Electrochemical Memory Principle, a unified model positing that information processing and memory are fundamental properties of metastable electrochemical systems.",MISC,,,
59,What organism demonstrates primitive memory in the Atomic Memory Hypothesis?,Amoeba (Amoeba proteus),We challenge neurocentric paradigms by demonstrating that the amoeba (Amoeba proteus) exhibits adaptive behavior and a primitive form of memory through electrolyte-mediated state changes and cytoskeletal reconfiguration.,MISC,,,
59,What does the Atomic Memory Hypothesis provide for humans?,The physical substrate for more complex neural memory,"We argue this Atomic Memory Hypothesis provides the physical substrate for more complex neural memory in humans, where consciousness is a functional state dependent on dynamic ionic gradients.",MISC,,,
59,What is the key distinction between biological systems and AI?,Biological systems have homeostatic intentionality; AI lacks metabolic self-preservation.,"Biological systems, defined by a self-preserving homeostatic intentionality, contrast with artificial intelligence, which lacks this metabolic imperative.",MISC,,,
59,How does the amoeba’s membrane signal?,"Via K⁺, Na⁺, and Ca²⁺ fluxes","The amoeba’s membrane potential, governed by K⁺, Na⁺, and Ca²⁺ fluxes, is its primary signaling network.",MISC,,,
59,What element models the cytoskeletal memory in amoebas?,Memristor,"This process is mathematically and functionally modeled by a memristor, a circuit element whose resistance depends on its history of current flow.",MISC,,,
59,How can amoeba memory be experimentally erased?,"Treat with cytochalasin D to disrupt cytoskeletal ""scarring""","Proposed experiments include: Amoeba Memory Erasure using cytochalasin D to disrupt cytoskeletal ""scarring"" and test maze navigation.",MISC,,,
59,What effect does human electrolyte imbalance have?,Impairs recall of recently formed memories,"Electrolyte Disruption and Memory Retrieval: In humans, mild electrolyte imbalance impairs recall of recently formed memories.",MISC,,,
59,What is the Electrochemical Principle?,All biological information processing is mediated by ion gradients and electrical potentials.,The Electrochemical Principle states that all biological information processing is mediated by ion gradients and electrical potentials.,MISC,,,
59,How does consciousness emerge according to the framework?,From integrated synchronization of electrochemical processes,Functional Emergence: Consciousness emerges from integrated synchronization of electrochemical processes.,MISC,,,
60,What can an operand be in VHDL/Verilog?,"Constant (Literal), Parameter, Data Types, Bit-select, Part-Select, Memory Elements, Function Call","An operand can be any of the following: Constant (Literal), Parameter, Data Types, Bit-select, Part-Select, Memory Elements, Function Call.",MISC,,,
60,What are literals in Verilog?,Constant-valued operands used in expressions,Literals are constant-valued operands that can be used in Verilog expressions.,MISC,,,
60,How is a string literal represented?,As a one-dimensional array of characters enclosed in double quotes,A string literal is a one-dimensional array of characters enclosed in double quotes.,MISC,,,
60,What types of numeric literals exist?,"Binary, octal, decimal, hexadecimal","Numeric literals are constant numbers specified in binary, octal, decimal, or hexadecimal.",MISC,,,
60,What is a parameter in Verilog?,A constant that can be set when instantiating a module,A parameter defines a constant that can be set when you instantiate a module.,MISC,,,
60,What are the primary data types in Verilog?,Registers and wires,The primary data types are registers and wires.,MISC,,,
60,What are the main variable types?,reg and wire,The main variable types are reg and wire.,MISC,,,
60,What values can reg and wire objects take?,"0, 1, X, Z","The reg and wire data objects may have the following possible values: 0 (logic 0, false), 1 (logic 1, true), X (unknown logic value), Z (high impedance state).",MISC,,,
60,What is a reg?,A data object that holds its value from one procedural assignment to the next,A reg (register) is a data object that holds its value from one procedural assignment to the next.,MISC,,,
60,What is a wire?,A physical wire used to connect gates or modules,A wire (net) represents a physical wire in a circuit and is used to connect gates or modules.,MISC,,,
60,"What are wand, wor, and tri?","Specific types of wires: wired-AND, wired-OR, three-state","Specific types of wires include wand (wired-AND), wor (wired-OR), and tri (three-state).",MISC,,,
60,Does a wire store a value?,"No, it is only a label on a wire",A wire does not store a value; it is a label on a wire.,MISC,,,
60,What are abstract data types?,"Integer, real, and time","Abstract data types include integer, real, and time.",MISC,,,
60,What are integers used for in Verilog?,"Loops, indices, parameters, constants","Integers are general-purpose variables, used mainly for loops, indices, parameters, and constants.",MISC,,,
60,What is time used for?,Holding simulation time with $time task,Time is a 64-bit quantity used with the $time system task to hold simulation time.,MISC,,,
60,What are bit-selects and part-selects?,Selection of single or groups of bits from vectors,"Bit-selects (“x[3]”) and part-selects (“x[5:3]”) allow selection of a single bit or a group of bits from a wire, reg, or parameter vector.",MISC,,,
60,How is a memory element addressed?,By a single array index,Each element in the memory is addressed by a single array index.,MISC,,,
60,What does a memory element select?,One word of a memory,A memory element selects one word of a memory.,MISC,,,
60,How can function return values be used?,Directly in expressions without assigning to reg or wire,The return value of a function can be used directly in an expression without first assigning it to a register or wire variable.,MISC,,,
61,How hot can temperatures inside the Earth get?,"4,000–6,000°C","Temperatures deep inside the Earth can range from 4,000–6,000°C.",QUANTITY,,,
61,What prevents rocks from turning into gas deep inside the Earth?,Immense pressure,"Because of immense pressure, rocks remain solids and liquids instead of turning to gases.",MISC,,,
61,What happens to temperatures as you go deeper into the Earth?,They increase.,The temperatures increase as you go deeper into the Earth.,MISC,,,
61,What is the Lithosphere composed of?,The crust and upper mantle,"The Lithosphere, composed of the crust and upper mantle, is the coolest layer.",MISC,,,
61,How hot is the Asthenosphere on average?,"About 1,300°C","The Asthenosphere averages about 1,300°C and is more fluid than the Lithosphere.",QUANTITY,,,
61,What is the hottest layer of the Earth?,The Core,"The Core is the hottest layer at about 5,000°C.",MISC,,,
61,How hot is the Earth’s core?,"About 5,000°C","The Core is the hottest layer at about 5,000°C.",QUANTITY,,,
61,What determines differences between Earth’s layers?,Unique rocks and minerals,Each Earth layer has unique rocks and minerals.,MISC,,,
61,Why is the core divided into two parts?,Differences in iron state,The core is divided into outer and inner layers due to differences in iron state.,MISC,,,
61,What is the state of the outer core?,Liquid iron,"The outer core is liquid iron, while the inner core is solid iron due to extreme pressure.",MISC,,,
61,What do tectonic plates float on?,The mantle,These plates move slowly each year over the mantle.,LOC,,,
61,Where does new seafloor form?,At divergent plate boundaries,Oceanic crust is 6–11 km thick and forms new seafloor at divergent boundaries.,LOC,,,
61,Why is the Asthenosphere more fluid?,Increased temperature and pressure,The Asthenosphere is more fluid than the Lithosphere due to increased temperature and pressure.,MISC,,,
61,Why are plate tectonics possible?,Because plates shift on the semi-liquid Asthenosphere,Plate tectonics occur because the plates shift on the semi-liquid Asthenosphere.,MISC,,,
61,What is the Moho?,A boundary marked by a drastic increase in seismic rate,The Moho marks a drastic increase in seismic rate.,MISC,,,
61,What moves mantle material in cycles?,Convection currents,Convection currents circulate mantle material.,MISC,,,
61,Who proposed the hollow Earth theory with shells in 1692?,Edmond Halley,Edmond Halley proposed hollow Earth shells in 1692.,PERSON,,,
61,When did Edmond Halley propose his hollow Earth theory?,1692,Edmond Halley proposed hollow Earth shells in 1692.,DATE,,,
61,Who suggested hollow shells with polar openings in 1818?,John Cleves Symmes Jr.,John Cleves Symmes Jr. suggested hollow shells with polar openings in 1818.,PERSON,,,
61,What scientific method disproved hollow Earth theory?,Seismic studies,Seismic studies show Earth cannot be hollow.,MISC,,,
61,Why would a hollow Earth be unstable?,Gravity would pull mass inward,Gravity would prevent a hollow Earth from being structurally stable.,MISC,,,
62,What is the basic unit of life?,The cell,A cell is the basic unit of life.,MISC,,,
62,What do organelles do?,Perform specific functions inside the cell,Organelles perform specific functions inside the cell.,MISC,,,
62,What controls movement of materials into and out of the cell?,The cell membrane,The cell membrane controls movement of materials into and out of the cell.,MISC,,,
62,What is the control center of the cell?,The nucleus,The nucleus is the control center of the cell.,MISC,,,
62,What do ribosomes synthesize?,Proteins,Ribosomes synthesize proteins.,MISC,,,
62,What do mitochondria produce?,ATP,Mitochondria produce cellular energy in the form of ATP.,MISC,,,
62,What captures sunlight for photosynthesis?,Chloroplasts,Chloroplasts capture sunlight for photosynthesis.,MISC,,,
62,What type of transport requires no energy?,Passive transport,Passive transport requires no energy.,MISC,,,
62,What type of transport requires ATP?,Active transport,Active transport requires ATP.,MISC,,,
62,What stores genetic information?,DNA,DNA stores genetic information.,MISC,,,
63,What does artificial intelligence aim to automate?,Human tasks,Artificial intelligence aims to automate human tasks by building machines that can make intelligent decisions.,MISC,,,
63,What is an example of an AI system with minimal human involvement?,Self-driving cars,Self-driving cars are an example of AI systems that operate with little or no human involvement.,MISC,,,
63,What do ML models use to learn patterns?,Training data,Machine learning models use training data to learn patterns and make predictions on new inputs.,MISC,,,
63,What heavily influences the accuracy of an ML model?,Data quality,The accuracy of an ML model depends heavily on the quality of its training data.,MISC,,,
63,What major limitation prevents ML from solving complex tasks?,Feature extraction,"ML cannot automatically extract features, which is a major limitation for complex tasks.",MISC,,,
63,What type of data can deep learning process directly?,Unstructured,Deep learning can process raw unstructured data through multilayer neural networks.,MISC,,,
63,What adjusts during neural network training to improve performance?,Weights,Weights inside a neural network adjust continuously to improve performance during training.,MISC,,,
64,What do businesses run on?,Money,Business run on money.,MISC,,,
64,What is capital considered to be?,More than just money,Capital is more than just money.,MISC,,,
64,What does capital financing refer to?,Methods used to raise money for launching a business,Capital financing refers to methods you use to raise money in launching your business.,MISC,,,
64,What types of capital can a business have?,"Financial, human, and natural capital","Your business can have several types of capital such as financial, human and natural capital.",MISC,,,
64,What keeps a business running?,Financial capital,Financial capital keeps your business running.,MISC,,,
64,What topics were determined in the chapter?,"Types of business organizations, types of bonds, and their application","In this chapter, we were able to determine the types of business organization, the types of bonds and its application.",MISC,,,
64,What are equity capital or ownership funds?,Funds supplied by owners expecting profit,Equity capital or ownership funds are those supplied and used by the owners of an enterprise in the expectation that a profit will be earned.,MISC,,,
64,What are borrowed funds?,Funds supplied by others that require interest and repayment,Borrowed funds or capital are those supplied by others on which a fixed rate of interest must be paid and the debt repaid at a specific time.,MISC,,,
64,What is individual ownership or sole proprietorship?,The simplest form of business organization,The individual ownership or sole proprietorship is the simplest form of business organization.,MISC,,,
64,What is a partnership?,An association of two or more persons for profit,A partnership is an association of two or more persons for the purpose of engaging in a business for profit.,MISC,,,
64,What is a corporation?,A distinct legal entity separate from its owners,A corporation is a distinct legal entity separate from the individuals who own it.,MISC,,,
64,How is corporate capital acquired?,Through the sale of stock,The capital of a corporation is acquired through the sale of stock.,MISC,,,
64,What is common stock?,Ordinary ownership without special guarantees of return,Common stock represents ordinary ownership without special guarantees of return.,MISC,,,
64,What are preferred stockholders guaranteed?,A defined dividend,Preferred stockholders are guaranteed a defined dividend on their stocks.,MISC,,,
64,What is a bond?,A certificate of indebtedness for not less than ten years,A bond is a certificate of indebtedness of a corporation usually for a period not less than ten years.,MISC,,,
64,Why are bonds issued?,To acquire more capital such as for expansion,Bonds are issued when there is need for more capital such as for expansion.,MISC,,,
65,What is a linked list?,A linear data structure made of linked nodes.,A linked list is a linear data structure made of nodes linked together.,MISC,,,
65,Why are insertions and deletions efficient in linked lists?,Because they allow dynamic memory usage and pointer-based operations.,It allows dynamic memory usage and efficient insertion and deletion.,MISC,,,
65,Why do linked lists not require a fixed size?,Because memory is allocated dynamically for each node.,Linked lists do not require a fixed size.,MISC,,,
65,Why can you add and remove elements quickly in a linked list?,Because elements are connected through pointers.,Linked lists allow fast add and remove operations because elements are connected through pointers.,MISC,,,
65,Why do linked lists use more memory than arrays?,Because they store pointers along with data.,Linked lists use more memory than arrays due to pointers.,MISC,,,
65,Why is searching slow in a linked list?,Because random access is not possible.,Searching in a linked list is slow because random access is not possible.,MISC,,,
65,What is a singly linked list?,A linked list with data and a next pointer supporting forward traversal.,A singly linked list contains data and a next pointer allowing forward traversal.,MISC,,,
65,What is a doubly linked list?,"A linked list with data, next, and previous pointers.","A doubly linked list contains data, next pointer, and previous pointer enabling forward and backward traversal.",MISC,,,
65,What is a circular linked list?,A linked list where first and last nodes are connected forming a loop.,A circular linked list connects the first and last node to form a loop.,MISC,,,
65,What is required when deleting a node?,Reconnecting surrounding nodes to maintain structure.,Deleting a node requires reconnecting the surrounding nodes.,MISC,,,
65,What must be done when inserting a node?,Adjusting pointers to avoid breaking the list.,Inserting a node requires adjusting pointers to maintain the structure.,MISC,,,
65,How are linked lists stored in memory?,"Non-contiguously, with nodes scattered in memory.",Linked lists are not stored contiguously in memory like arrays.,MISC,,,
65,Why are arrays faster to access than linked lists?,Because arrays support direct access while linked lists require traversal.,Arrays offer direct access to elements while linked lists require traversal.,MISC,,,
66,What are implicit or unconscious biases part of?,The unconscious decision-making part of the brain.,Implicit or unconscious bias and prejudices are part of the unconscious decision making part of the brain.,MISC,,,
66,Who needs to understand themselves to overcome unconscious biases in youth programs?,Staff.,Staff need to understand themselves to overcome any unconscious biases that work against an open and welcoming youth program.,PERSON ,,,
66,What do the terms bias and prejudice describe?,A set of beliefs that influence and sometimes misinform decisions and interactions.,Bias and prejudice are terms used to describe a set of beliefs that influence and sometimes misinform decisions and interactions with others.,MISC,,,
66,What can help an individual become aware of their unconscious biases?,Reflection.,"Reflection can help an individual become aware of their unconscious biases and prejudices by spending time thinking about specific actions, thoughts, and statements.",MISC,,,
66,What does reflection give a person?,Understanding and knowledge.,"Reflection gives a person understanding, and with understanding, they gain knowledge.",MISC,,,
66,What do program staff use to inform the way they interact with youth?,Knowledge.,Knowledge is what program staff use to inform the way they interact with youth.,MISC,,,
66,What is the goal of reflection?,To help change behavior through understanding and knowledge.,This is the goal of reflection.,MISC,,,
66,Why does it take time to change biases and values?,Because they form over time.,"Because biases, prejudices, and values form over time, it often takes time to change or remove them.",MISC,,,
66,What must program staff be aware of to inform how they interact with youth?,Their unconscious biases and prejudices.,Program staff need to be aware of their unconscious biases and prejudices so they can understand and inform the way they interact with youth.,PERSON ,,,
66,What is reflection described as?,"A tool that helps individuals think about their actions, thoughts, and statements and gain insight.","Reflection is a tool that helps an individual think about their actions, thoughts, and statements and gain insight.",MISC,,,
66,What are unconscious biases part of?,The unconscious decision-making part of the brain.,Implicit or unconscious bias and prejudices are part of the unconscious decision-making part of the brain.,MISC,,,
66,Who needs to understand themselves to overcome unconscious biases in youth programs?,Youth program staff.,Youth program staff need to understand themselves to overcome any unconscious biases that work against an open and welcoming youth program.,PERSON ,,,
67,What is an electric circuit that may contain alternating current?,An electric circuit containing AC.,An electric circuit may contain alternating current.,MISC,,,
67,"What type of connections can be analyzed to calculate R, L, and C?",Series and parallel connections.,"Series and parallel connections can be analyzed to calculate resistance, inductance, and capacitance in an AC circuit.",MISC,,,
67,What can be determined by analyzing circuits with inductors and capacitors?,Voltages and currents.,Electric circuits can be analyzed to determine voltages and currents in circuits containing inductors and capacitors.,MISC,,,
67,What are the basic types of circuits mentioned?,"R, L, C, RL, RC, LC, RLC.","There are basic types of circuits such as R, L, C, RL, RC, LC, and RLC circuits.",MISC,,,
67,What does a resistor oppose?,The flow of current.,A resistor opposes the flow of current.,MISC,,,
67,What does an inductor oppose?,The change in current.,An inductor opposes the change in current.,MISC,,,
67,When does current lag voltage by 90 degrees?,In a pure inductor AC circuit.,A pure inductor in an AC circuit causes current to lag the voltage by 90 degrees.,MISC,,,
67,What does a capacitor store?,Electric charge.,A capacitor stores electric charge and opposes changes in voltage.,MISC,,,
67,When does current lead voltage by 90 degrees?,In a pure capacitor AC circuit.,A pure capacitor in an AC circuit causes current to lead voltage by 90 degrees.,MISC,,,
67,What are the types of power factor?,"Unity, lagging, leading.","Power factor can be unity, lagging, or leading depending on the load.",MISC,,,
